steps,(All),,,
,,,,
Sum of steps,Column Labels,,,
Row Labels,Policy Iteration,Q Learning Optimal,Value Iteration,Grand Total
1,300,300,300,900
2,300,300,300,900
3,300,300,300,900
4,300,300,300,900
5,300,300,300,900
6,212.57,300,300,812.57
7,53.69,300,300,653.69
8,53.8,300,300,653.8
9,52.57,300,300,652.57
10,52.94,300,300,652.94
11,52.63,300,300,652.63
12,54.71,300,300,654.71
13,65.19,300,300,665.19
14,65.95,300,300,665.95
15,66.78,300,300,666.78
16,66.23,300,300,666.23
17,66.12,300,300,666.12
18,66.92,300,300,666.92
19,65.86,300,297.59,663.45
20,66.64,300,296.11,662.75
21,67.55,300,284.81,652.36
22,67.37,300,283.9,651.27
23,66.32,300,214.1,580.42
24,66.31,300,202.74,569.05
25,66.41,300,80.7,447.11
26,67.55,300,66.54,434.09
27,66.13,300,65.03,431.16
28,67.2,300,66.15,433.35
29,65.71,300,66.2,431.91
30,66.25,300,65.9,432.15
31,65.61,300,65.8,431.41
32,67.1,300,67.06,434.16
33,66.97,299.87,66.37,433.21
34,66.51,300,67.02,433.53
35,68.44,300,69.12,437.56
36,66.29,300,66.08,432.37
37,67.25,300,66.93,434.18
38,66.29,300,67.83,434.12
39,66.81,300,66.55,433.36
40,67.22,300,67.89,435.11
41,66.12,300,67.06,433.18
42,66.06,300,67.35,433.41
43,66.64,300,65.57,432.21
44,67.5,300,66.82,434.32
45,67.08,300,66.18,433.26
46,67.5,300,67.19,434.69
47,66,300,66.47,432.47
48,67.12,300,66.7,433.82
49,67.09,300,65.2,432.29
50,67.1,300,66.29,433.39
51,66.05,300,66.88,432.93
52,67.2,300,65.64,432.84
53,67.43,300,66.35,433.78
54,67.73,295.46,65.76,428.95
55,67.35,299.62,66.86,433.83
56,68.67,300,66.58,435.25
57,66.5,299.68,66.27,432.45
58,66.85,300,66.21,433.06
59,67.11,298.45,66,431.56
60,67.4,298.95,65.59,431.94
61,65.57,300,65.85,431.42
62,66.66,300,66.53,433.19
63,66.53,300,67.44,433.97
64,66.39,300,65.87,432.26
65,67.2,300,65.89,433.09
66,66.36,300,66.24,432.6
67,66.49,300,66.33,432.82
68,66.51,300,66.74,433.25
69,67.17,299.66,68.68,435.51
70,67.45,300,67.33,434.78
71,66.68,298.57,67.24,432.49
72,65.93,300,66.98,432.91
73,66.81,300,66.81,433.62
74,65.53,300,65.53,431.06
75,65.66,300,68.14,433.8
76,67.34,300,66.48,433.82
77,66.08,300,66.71,432.79
78,67.45,300,67.14,434.59
79,65.69,300,66.8,432.49
80,66.84,300,66.68,433.52
81,66.58,300,66.48,433.06
82,67.11,300,67.54,434.65
83,68.72,299.74,66.72,435.18
84,65.26,300,67.27,432.53
85,66.83,300,67.2,434.03
86,66.69,300,66.54,433.23
87,66.69,299.17,66.61,432.47
88,66.57,299.74,66.82,433.13
89,66.57,297.81,67.45,431.83
90,67.6,297.75,67.02,432.37
91,66.29,299.38,66.73,432.4
92,66.1,299.88,69.07,435.05
93,66.62,300,67.06,433.68
94,65.93,300,67.01,432.94
95,67.03,299.66,67.1,433.79
96,66.15,299,66.99,432.14
97,65.42,294.64,66.38,426.44
98,67.53,296.25,66.83,430.61
99,66.45,300,67.02,433.47
100,67.18,300,66.71,433.89
101,,297.34,,297.34
102,,277.39,,277.39
103,,289.1,,289.1
104,,289.93,,289.93
105,,298.83,,298.83
106,,298.88,,298.88
107,,296.84,,296.84
108,,300,,300
109,,300,,300
110,,300,,300
111,,300,,300
112,,298.46,,298.46
113,,300,,300
114,,300,,300
115,,300,,300
116,,300,,300
117,,300,,300
118,,300,,300
119,,300,,300
120,,300,,300
121,,300,,300
122,,300,,300
123,,300,,300
124,,300,,300
125,,300,,300
126,,300,,300
127,,300,,300
128,,300,,300
129,,300,,300
130,,300,,300
131,,300,,300
132,,300,,300
133,,300,,300
134,,300,,300
135,,299.98,,299.98
136,,297.12,,297.12
137,,300,,300
138,,295.69,,295.69
139,,300,,300
140,,295.16,,295.16
141,,295.5,,295.5
142,,298.73,,298.73
143,,298.11,,298.11
144,,300,,300
145,,300,,300
146,,297.3,,297.3
147,,299.04,,299.04
148,,297.06,,297.06
149,,299.28,,299.28
150,,296.62,,296.62
151,,297.51,,297.51
152,,294.34,,294.34
153,,299.3,,299.3
154,,298.72,,298.72
155,,300,,300
156,,296.05,,296.05
157,,300,,300
158,,297.91,,297.91
159,,299.84,,299.84
160,,294.88,,294.88
161,,300,,300
162,,297.89,,297.89
163,,291.38,,291.38
164,,296.44,,296.44
165,,292.95,,292.95
166,,292.96,,292.96
167,,299.83,,299.83
168,,300,,300
169,,288.32,,288.32
170,,298.99,,298.99
171,,297,,297
172,,299.92,,299.92
173,,296.1,,296.1
174,,296.82,,296.82
175,,285.61,,285.61
176,,287.66,,287.66
177,,279.53,,279.53
178,,293.99,,293.99
179,,298.15,,298.15
180,,293.55,,293.55
181,,296.97,,296.97
182,,293.11,,293.11
183,,294.02,,294.02
184,,236.88,,236.88
185,,300,,300
186,,298.11,,298.11
187,,292.12,,292.12
188,,292.68,,292.68
189,,299.96,,299.96
190,,292.15,,292.15
191,,296.85,,296.85
192,,282.93,,282.93
193,,298.37,,298.37
194,,298.1,,298.1
195,,274.3,,274.3
196,,297.97,,297.97
197,,290.7,,290.7
198,,300,,300
199,,300,,300
200,,299.33,,299.33
201,,290.4,,290.4
202,,293.5,,293.5
203,,295.32,,295.32
204,,300,,300
205,,298.46,,298.46
206,,289.08,,289.08
207,,300,,300
208,,298.91,,298.91
209,,300,,300
210,,300,,300
211,,300,,300
212,,300,,300
213,,300,,300
214,,300,,300
215,,299.71,,299.71
216,,300,,300
217,,300,,300
218,,298.9,,298.9
219,,255.06,,255.06
220,,300,,300
221,,299.34,,299.34
222,,300,,300
223,,299.81,,299.81
224,,300,,300
225,,300,,300
226,,300,,300
227,,300,,300
228,,300,,300
229,,299.6,,299.6
230,,298.95,,298.95
231,,285.51,,285.51
232,,300,,300
233,,296.1,,296.1
234,,300,,300
235,,286.95,,286.95
236,,297.62,,297.62
237,,297.34,,297.34
238,,272.23,,272.23
239,,297,,297
240,,296.43,,296.43
241,,298.07,,298.07
242,,300,,300
243,,297.69,,297.69
244,,298.27,,298.27
245,,300,,300
246,,280.34,,280.34
247,,300,,300
248,,298.64,,298.64
249,,299.67,,299.67
250,,300,,300
251,,300,,300
252,,300,,300
253,,300,,300
254,,300,,300
255,,300,,300
256,,300,,300
257,,298.67,,298.67
258,,292.7,,292.7
259,,298.41,,298.41
260,,296.69,,296.69
261,,298.12,,298.12
262,,278.09,,278.09
263,,300,,300
264,,299.99,,299.99
265,,300,,300
266,,297.56,,297.56
267,,298.77,,298.77
268,,299.28,,299.28
269,,295.86,,295.86
270,,297.34,,297.34
271,,300,,300
272,,300,,300
273,,300,,300
274,,291.48,,291.48
275,,291.23,,291.23
276,,296.67,,296.67
277,,281.38,,281.38
278,,299.63,,299.63
279,,291.51,,291.51
280,,295.19,,295.19
281,,278.08,,278.08
282,,285.01,,285.01
283,,276.71,,276.71
284,,245.84,,245.84
285,,270.06,,270.06
286,,277.39,,277.39
287,,241.73,,241.73
288,,233.12,,233.12
289,,150.43,,150.43
290,,236.02,,236.02
291,,257.62,,257.62
292,,205.27,,205.27
293,,272.36,,272.36
294,,283.98,,283.98
295,,251.76,,251.76
296,,223.77,,223.77
297,,239.22,,239.22
298,,172.93,,172.93
299,,134.16,,134.16
300,,145.78,,145.78
301,,140,,140
302,,227.37,,227.37
303,,207.77,,207.77
304,,221.58,,221.58
305,,241.88,,241.88
306,,160.39,,160.39
307,,160.16,,160.16
308,,134.77,,134.77
309,,230.05,,230.05
310,,210.03,,210.03
311,,236.41,,236.41
312,,213.04,,213.04
313,,226.83,,226.83
314,,147.66,,147.66
315,,156.36,,156.36
316,,201.6,,201.6
317,,161.41,,161.41
318,,174,,174
319,,146.22,,146.22
320,,119.16,,119.16
321,,181.97,,181.97
322,,148.59,,148.59
323,,253.83,,253.83
324,,252.2,,252.2
325,,230.21,,230.21
326,,229.59,,229.59
327,,150.87,,150.87
328,,178.51,,178.51
329,,153.71,,153.71
330,,148.71,,148.71
331,,230.51,,230.51
332,,139.23,,139.23
333,,221.8,,221.8
334,,112.2,,112.2
335,,108.96,,108.96
336,,112.97,,112.97
337,,136.58,,136.58
338,,266.51,,266.51
339,,216.15,,216.15
340,,154.67,,154.67
341,,204.21,,204.21
342,,234.2,,234.2
343,,253.05,,253.05
344,,145.67,,145.67
345,,116.39,,116.39
346,,102.57,,102.57
347,,233.23,,233.23
348,,107.11,,107.11
349,,108.49,,108.49
350,,116.34,,116.34
351,,127.92,,127.92
352,,179.96,,179.96
353,,266.78,,266.78
354,,210.7,,210.7
355,,252.08,,252.08
356,,172.91,,172.91
357,,139.13,,139.13
358,,133.11,,133.11
359,,135.54,,135.54
360,,233.14,,233.14
361,,292.85,,292.85
362,,271.62,,271.62
363,,122.09,,122.09
364,,141.55,,141.55
365,,169.15,,169.15
366,,170.15,,170.15
367,,164.29,,164.29
368,,144.69,,144.69
369,,148.71,,148.71
370,,187.39,,187.39
371,,257.45,,257.45
372,,277.3,,277.3
373,,272.35,,272.35
374,,209.07,,209.07
375,,126.92,,126.92
376,,151.89,,151.89
377,,129.29,,129.29
378,,158.62,,158.62
379,,154.98,,154.98
380,,207.42,,207.42
381,,155.63,,155.63
382,,188.79,,188.79
383,,174.91,,174.91
384,,226.79,,226.79
385,,265.18,,265.18
386,,172.08,,172.08
387,,152.07,,152.07
388,,209.47,,209.47
389,,199.86,,199.86
390,,129.62,,129.62
391,,278.71,,278.71
392,,236.5,,236.5
393,,231.34,,231.34
394,,110.39,,110.39
395,,138.7,,138.7
396,,221.92,,221.92
397,,98.71,,98.71
398,,97.9,,97.9
399,,79.82,,79.82
400,,91.9,,91.9
401,,85.61,,85.61
402,,77.81,,77.81
403,,96.81,,96.81
404,,84.03,,84.03
405,,82.33,,82.33
406,,83.55,,83.55
407,,92.86,,92.86
408,,102.2,,102.2
409,,84.55,,84.55
410,,100.32,,100.32
411,,92.59,,92.59
412,,109.14,,109.14
413,,89.65,,89.65
414,,81.03,,81.03
415,,80.45,,80.45
416,,95.48,,95.48
417,,82.19,,82.19
418,,77.96,,77.96
419,,103.67,,103.67
420,,136.82,,136.82
421,,248.25,,248.25
422,,291.4,,291.4
423,,273.83,,273.83
424,,152.82,,152.82
425,,214.05,,214.05
426,,182.95,,182.95
427,,277.19,,277.19
428,,263.21,,263.21
429,,297.68,,297.68
430,,264.62,,264.62
431,,242.96,,242.96
432,,285.89,,285.89
433,,94.91,,94.91
434,,92.88,,92.88
435,,295.09,,295.09
436,,264.01,,264.01
437,,248.76,,248.76
438,,299.52,,299.52
439,,300,,300
440,,294.82,,294.82
441,,279.19,,279.19
442,,300,,300
443,,269.61,,269.61
444,,299.13,,299.13
445,,275.69,,275.69
446,,299.32,,299.32
447,,283.5,,283.5
448,,296.58,,296.58
449,,259.52,,259.52
450,,300,,300
451,,171.81,,171.81
452,,144.8,,144.8
453,,294.86,,294.86
454,,168.3,,168.3
455,,110.54,,110.54
456,,265.04,,265.04
457,,228.42,,228.42
458,,115.6,,115.6
459,,265.32,,265.32
460,,170.26,,170.26
461,,297.91,,297.91
462,,283.33,,283.33
463,,255.91,,255.91
464,,272.53,,272.53
465,,164.13,,164.13
466,,175.36,,175.36
467,,269.91,,269.91
468,,136.48,,136.48
469,,133.62,,133.62
470,,109.17,,109.17
471,,222.12,,222.12
472,,267.86,,267.86
473,,230.4,,230.4
474,,118.59,,118.59
475,,93.87,,93.87
476,,121.36,,121.36
477,,96.09,,96.09
478,,93.21,,93.21
479,,129.26,,129.26
480,,96.59,,96.59
481,,108.6,,108.6
482,,80.81,,80.81
483,,98.58,,98.58
484,,81.24,,81.24
485,,89.28,,89.28
486,,83.6,,83.6
487,,83.25,,83.25
488,,126.12,,126.12
489,,114.79,,114.79
490,,75.17,,75.17
491,,80.38,,80.38
492,,71.77,,71.77
493,,75.74,,75.74
494,,75.09,,75.09
495,,218.09,,218.09
496,,80.19,,80.19
497,,80.76,,80.76
498,,76.32,,76.32
499,,79.72,,79.72
500,,84.01,,84.01
501,,73.22,,73.22
502,,78.2,,78.2
503,,77.47,,77.47
504,,82.13,,82.13
505,,78.02,,78.02
506,,74.37,,74.37
507,,112.72,,112.72
508,,108.66,,108.66
509,,168.13,,168.13
510,,125.62,,125.62
511,,90.18,,90.18
512,,93.28,,93.28
513,,76.63,,76.63
514,,81.65,,81.65
515,,78.95,,78.95
516,,81.51,,81.51
517,,78.3,,78.3
518,,83.01,,83.01
519,,77.73,,77.73
520,,78.22,,78.22
521,,75.63,,75.63
522,,77.31,,77.31
523,,79.41,,79.41
524,,77.47,,77.47
525,,76.69,,76.69
526,,74.03,,74.03
527,,74.51,,74.51
528,,77.32,,77.32
529,,75.49,,75.49
530,,79.5,,79.5
531,,76.61,,76.61
532,,72.4,,72.4
533,,82.69,,82.69
534,,83.96,,83.96
535,,76.22,,76.22
536,,76.61,,76.61
537,,74.99,,74.99
538,,76.39,,76.39
539,,76.09,,76.09
540,,73.9,,73.9
541,,77.05,,77.05
542,,70.22,,70.22
543,,69.45,,69.45
544,,70.41,,70.41
545,,70.72,,70.72
546,,71.02,,71.02
547,,72.45,,72.45
548,,73.85,,73.85
549,,86.35,,86.35
550,,71.95,,71.95
551,,71.28,,71.28
552,,70.02,,70.02
553,,70.39,,70.39
554,,69.65,,69.65
555,,74.31,,74.31
556,,70.3,,70.3
557,,68.53,,68.53
558,,73.43,,73.43
559,,71.76,,71.76
560,,68.96,,68.96
561,,70.53,,70.53
562,,71.92,,71.92
563,,71,,71
564,,73.78,,73.78
565,,68.59,,68.59
566,,70.86,,70.86
567,,69,,69
568,,69.54,,69.54
569,,68.27,,68.27
570,,74.04,,74.04
571,,72.03,,72.03
572,,68.14,,68.14
573,,72.41,,72.41
574,,72.44,,72.44
575,,72.8,,72.8
576,,70.79,,70.79
577,,69.56,,69.56
578,,74.17,,74.17
579,,72.14,,72.14
580,,73.31,,73.31
581,,76.98,,76.98
582,,76.79,,76.79
583,,70.09,,70.09
584,,71.74,,71.74
585,,71.49,,71.49
586,,71.04,,71.04
587,,71.84,,71.84
588,,74.72,,74.72
589,,71.56,,71.56
590,,72.75,,72.75
591,,78.15,,78.15
592,,68.43,,68.43
593,,74.59,,74.59
594,,71.5,,71.5
595,,71.67,,71.67
596,,69.32,,69.32
597,,67.33,,67.33
598,,68.21,,68.21
599,,72.72,,72.72
600,,74.17,,74.17
601,,73.25,,73.25
602,,70.77,,70.77
603,,68.04,,68.04
604,,68.99,,68.99
605,,71.52,,71.52
606,,68.79,,68.79
607,,73.84,,73.84
608,,75,,75
609,,73.27,,73.27
610,,70.35,,70.35
611,,70.11,,70.11
612,,73.93,,73.93
613,,68.22,,68.22
614,,71.19,,71.19
615,,68.29,,68.29
616,,71.1,,71.1
617,,75.62,,75.62
618,,70.1,,70.1
619,,74.91,,74.91
620,,67.25,,67.25
621,,73.39,,73.39
622,,74.73,,74.73
623,,68.58,,68.58
624,,69.77,,69.77
625,,76.61,,76.61
626,,69.22,,69.22
627,,76.58,,76.58
628,,69.78,,69.78
629,,67.97,,67.97
630,,68.29,,68.29
631,,68.81,,68.81
632,,69.77,,69.77
633,,68.42,,68.42
634,,80.22,,80.22
635,,74.75,,74.75
636,,70.23,,70.23
637,,70.51,,70.51
638,,69.4,,69.4
639,,74.82,,74.82
640,,68.76,,68.76
641,,73.1,,73.1
642,,69.66,,69.66
643,,72.55,,72.55
644,,69.08,,69.08
645,,73.65,,73.65
646,,70.62,,70.62
647,,72.82,,72.82
648,,69.34,,69.34
649,,68.81,,68.81
650,,71.85,,71.85
651,,68.67,,68.67
652,,70.77,,70.77
653,,74.76,,74.76
654,,71.02,,71.02
655,,70.36,,70.36
656,,73.98,,73.98
657,,72.69,,72.69
658,,72.72,,72.72
659,,70.44,,70.44
660,,71.55,,71.55
661,,75.19,,75.19
662,,69.89,,69.89
663,,71.3,,71.3
664,,67.22,,67.22
665,,72.96,,72.96
666,,71.93,,71.93
667,,73.95,,73.95
668,,73.3,,73.3
669,,69.64,,69.64
670,,73.42,,73.42
671,,71.07,,71.07
672,,71.97,,71.97
673,,71.22,,71.22
674,,70,,70
675,,74.98,,74.98
676,,73.74,,73.74
677,,74.51,,74.51
678,,77.96,,77.96
679,,71.01,,71.01
680,,69.58,,69.58
681,,79.32,,79.32
682,,70.54,,70.54
683,,69.55,,69.55
684,,68.93,,68.93
685,,75.56,,75.56
686,,69.43,,69.43
687,,76.96,,76.96
688,,73.71,,73.71
689,,69.3,,69.3
690,,75.03,,75.03
691,,71.23,,71.23
692,,76.03,,76.03
693,,70.23,,70.23
694,,74.85,,74.85
695,,70.07,,70.07
696,,71.11,,71.11
697,,72.91,,72.91
698,,71.44,,71.44
699,,76.16,,76.16
700,,74.1,,74.1
701,,72.07,,72.07
702,,72.54,,72.54
703,,72.92,,72.92
704,,70.5,,70.5
705,,73.9,,73.9
706,,70.7,,70.7
707,,73.81,,73.81
708,,75.53,,75.53
709,,72.36,,72.36
710,,78.35,,78.35
711,,70.09,,70.09
712,,71.05,,71.05
713,,69.24,,69.24
714,,71.2,,71.2
715,,70.16,,70.16
716,,70.1,,70.1
717,,75.78,,75.78
718,,68.6,,68.6
719,,70.3,,70.3
720,,68.63,,68.63
721,,70.94,,70.94
722,,73.27,,73.27
723,,72.02,,72.02
724,,67.52,,67.52
725,,105.71,,105.71
726,,106.82,,106.82
727,,103.01,,103.01
728,,100.98,,100.98
729,,69.79,,69.79
730,,76.82,,76.82
731,,67.9,,67.9
732,,71.32,,71.32
733,,69.64,,69.64
734,,68.86,,68.86
735,,68.99,,68.99
736,,70.08,,70.08
737,,74.95,,74.95
738,,67.36,,67.36
739,,70.2,,70.2
740,,68.43,,68.43
741,,70.21,,70.21
742,,74.59,,74.59
743,,74.51,,74.51
744,,69.46,,69.46
745,,67.59,,67.59
746,,67.72,,67.72
747,,72.24,,72.24
748,,69.17,,69.17
749,,69.11,,69.11
750,,70.43,,70.43
751,,68.71,,68.71
752,,71.6,,71.6
753,,70.66,,70.66
754,,69.69,,69.69
755,,68.96,,68.96
756,,69.24,,69.24
757,,69.89,,69.89
758,,68.85,,68.85
759,,68.51,,68.51
760,,73.5,,73.5
761,,70.63,,70.63
762,,71.57,,71.57
763,,73.56,,73.56
764,,70.23,,70.23
765,,69.85,,69.85
766,,71.49,,71.49
767,,69.48,,69.48
768,,72.07,,72.07
769,,68.57,,68.57
770,,70.88,,70.88
771,,68.77,,68.77
772,,70.98,,70.98
773,,71.43,,71.43
774,,71.91,,71.91
775,,70.73,,70.73
776,,69.11,,69.11
777,,67.79,,67.79
778,,70.46,,70.46
779,,68.65,,68.65
780,,68.75,,68.75
781,,69.14,,69.14
782,,69.4,,69.4
783,,69.65,,69.65
784,,68.8,,68.8
785,,69.49,,69.49
786,,66.93,,66.93
787,,72.07,,72.07
788,,70.89,,70.89
789,,68.52,,68.52
790,,71.2,,71.2
791,,68.37,,68.37
792,,69.89,,69.89
793,,74.48,,74.48
794,,73.61,,73.61
795,,69.9,,69.9
796,,73.61,,73.61
797,,73.8,,73.8
798,,71.35,,71.35
799,,71.61,,71.61
800,,68.12,,68.12
801,,71.48,,71.48
802,,71.78,,71.78
803,,73.54,,73.54
804,,69.27,,69.27
805,,72.18,,72.18
806,,72.27,,72.27
807,,69.81,,69.81
808,,71.38,,71.38
809,,67.95,,67.95
810,,72.94,,72.94
811,,68.5,,68.5
812,,69.6,,69.6
813,,70.26,,70.26
814,,72.5,,72.5
815,,75.65,,75.65
816,,69.41,,69.41
817,,74.38,,74.38
818,,73.62,,73.62
819,,68.73,,68.73
820,,73.36,,73.36
821,,68.26,,68.26
822,,72.25,,72.25
823,,71.91,,71.91
824,,71.12,,71.12
825,,69.67,,69.67
826,,73.82,,73.82
827,,70.01,,70.01
828,,70.49,,70.49
829,,71.22,,71.22
830,,71.56,,71.56
831,,73.54,,73.54
832,,74.32,,74.32
833,,69.04,,69.04
834,,67.94,,67.94
835,,72.14,,72.14
836,,68.75,,68.75
837,,73.39,,73.39
838,,76.39,,76.39
839,,70.65,,70.65
840,,72.51,,72.51
841,,70.59,,70.59
842,,69.13,,69.13
843,,69.8,,69.8
844,,71.83,,71.83
845,,71.43,,71.43
846,,74.08,,74.08
847,,71.54,,71.54
848,,72.09,,72.09
849,,72.39,,72.39
850,,67.72,,67.72
851,,72.22,,72.22
852,,69.85,,69.85
853,,68.3,,68.3
854,,70.42,,70.42
855,,105.52,,105.52
856,,85.33,,85.33
857,,78.35,,78.35
858,,70.73,,70.73
859,,72.97,,72.97
860,,70.26,,70.26
861,,69.07,,69.07
862,,70.58,,70.58
863,,72.22,,72.22
864,,69.79,,69.79
865,,72.05,,72.05
866,,76.73,,76.73
867,,69.11,,69.11
868,,74.83,,74.83
869,,69.41,,69.41
870,,69.55,,69.55
871,,75.38,,75.38
872,,71.31,,71.31
873,,69.64,,69.64
874,,70.84,,70.84
875,,67.89,,67.89
876,,73.69,,73.69
877,,70.19,,70.19
878,,70.47,,70.47
879,,75.3,,75.3
880,,69,,69
881,,71.4,,71.4
882,,70.68,,70.68
883,,70.79,,70.79
884,,73.79,,73.79
885,,68.58,,68.58
886,,71.34,,71.34
887,,69.83,,69.83
888,,75.02,,75.02
889,,70.75,,70.75
890,,70.17,,70.17
891,,69.54,,69.54
892,,73.24,,73.24
893,,75.35,,75.35
894,,72.41,,72.41
895,,75.04,,75.04
896,,70.56,,70.56
897,,73.33,,73.33
898,,68.91,,68.91
899,,73.48,,73.48
900,,71.56,,71.56
901,,76.49,,76.49
902,,71.48,,71.48
903,,91.67,,91.67
904,,84.96,,84.96
905,,71.44,,71.44
906,,72.13,,72.13
907,,71.88,,71.88
908,,68.37,,68.37
909,,73.58,,73.58
910,,104.73,,104.73
911,,107.07,,107.07
912,,114.33,,114.33
913,,103.32,,103.32
914,,68.84,,68.84
915,,76.73,,76.73
916,,73.71,,73.71
917,,68.88,,68.88
918,,74.23,,74.23
919,,68.78,,68.78
920,,72.06,,72.06
921,,69.91,,69.91
922,,71.5,,71.5
923,,73.02,,73.02
924,,70.94,,70.94
925,,71.89,,71.89
926,,70.8,,70.8
927,,69.56,,69.56
928,,69.11,,69.11
929,,68.98,,68.98
930,,73.1,,73.1
931,,68.6,,68.6
932,,68.9,,68.9
933,,69.68,,69.68
934,,71.85,,71.85
935,,71.34,,71.34
936,,69.63,,69.63
937,,72.74,,72.74
938,,69.25,,69.25
939,,69.71,,69.71
940,,70.52,,70.52
941,,68.63,,68.63
942,,68.19,,68.19
943,,68.11,,68.11
944,,74.48,,74.48
945,,75.07,,75.07
946,,70.49,,70.49
947,,74.05,,74.05
948,,70.39,,70.39
949,,69.92,,69.92
950,,70.39,,70.39
951,,70.73,,70.73
952,,71.53,,71.53
953,,70.16,,70.16
954,,71.6,,71.6
955,,69.18,,69.18
956,,72.91,,72.91
957,,67.1,,67.1
958,,75.7,,75.7
959,,71.14,,71.14
960,,70.65,,70.65
961,,74.11,,74.11
962,,73.49,,73.49
963,,72.75,,72.75
964,,71.64,,71.64
965,,69.7,,69.7
966,,73.17,,73.17
967,,70.35,,70.35
968,,70.52,,70.52
969,,81.48,,81.48
970,,86.52,,86.52
971,,70.45,,70.45
972,,70.13,,70.13
973,,72.26,,72.26
974,,69.78,,69.78
975,,73.28,,73.28
976,,87.06,,87.06
977,,73.01,,73.01
978,,70.92,,70.92
979,,70.78,,70.78
980,,70,,70
981,,69.74,,69.74
982,,73.7,,73.7
983,,69.18,,69.18
984,,68.46,,68.46
985,,73.43,,73.43
986,,72.91,,72.91
987,,75.38,,75.38
988,,73.81,,73.81
989,,72.24,,72.24
990,,70.89,,70.89
991,,73.65,,73.65
992,,68.74,,68.74
993,,68.99,,68.99
994,,70.49,,70.49
995,,70.21,,70.21
996,,68.02,,68.02
997,,70.87,,70.87
998,,69.14,,69.14
999,,70.34,,70.34
1000,,69.87,,69.87
1001,,67.82,,67.82
1002,,75.04,,75.04
1003,,70.29,,70.29
1004,,71.47,,71.47
1005,,69.75,,69.75
1006,,70.75,,70.75
