steps,(All),,,
1007,,70.31,,70.31
1008,,74.63,,74.63
1009,,70.97,,70.97
1010,,72.28,,72.28
1011,,79.1,,79.1
1012,,86.18,,86.18
1013,,83.41,,83.41
1014,,80.39,,80.39
1015,,79.67,,79.67
1016,,84.01,,84.01
1017,,87,,87
1018,,103.25,,103.25
1019,,100.45,,100.45
1020,,70.64,,70.64
1021,,257.18,,257.18
1022,,107.79,,107.79
1023,,111.69,,111.69
1024,,72,,72
1025,,73.81,,73.81
1026,,72.99,,72.99
1027,,69,,69
1028,,77.61,,77.61
1029,,86.94,,86.94
1030,,107.52,,107.52
1031,,71.46,,71.46
1032,,90.88,,90.88
1033,,191.12,,191.12
1034,,89.47,,89.47
1035,,105.32,,105.32
1036,,70.39,,70.39
1037,,87.38,,87.38
1038,,70.4,,70.4
1039,,71.93,,71.93
1040,,71.03,,71.03
1041,,73.75,,73.75
1042,,67.5,,67.5
1043,,67.06,,67.06
1044,,70.44,,70.44
1045,,69.33,,69.33
1046,,69.69,,69.69
1047,,69.27,,69.27
1048,,72.83,,72.83
1049,,71.66,,71.66
1050,,88.65,,88.65
1051,,70.13,,70.13
1052,,91.87,,91.87
1053,,107.37,,107.37
1054,,92.27,,92.27
1055,,73.55,,73.55
1056,,75.26,,75.26
1057,,68.87,,68.87
1058,,105.89,,105.89
1059,,286.61,,286.61
1060,,298.37,,298.37
1061,,242.45,,242.45
1062,,261.46,,261.46
1063,,275.79,,275.79
1064,,300,,300
1065,,293.75,,293.75
1066,,272.68,,272.68
1067,,299.36,,299.36
1068,,299.11,,299.11
1069,,298.02,,298.02
1070,,275.12,,275.12
1071,,281.87,,281.87
1072,,245.48,,245.48
1073,,290.05,,290.05
1074,,289,,289
1075,,300,,300
1076,,281.87,,281.87
1077,,300,,300
1078,,277.36,,277.36
1079,,297.75,,297.75
1080,,272.71,,272.71
1081,,295.69,,295.69
1082,,162.5,,162.5
1083,,264.79,,264.79
1084,,287.5,,287.5
1085,,197.36,,197.36
1086,,294.04,,294.04
1087,,289.96,,289.96
1088,,256.98,,256.98
1089,,131.67,,131.67
1090,,134.85,,134.85
1091,,115.36,,115.36
1092,,106.42,,106.42
1093,,86.25,,86.25
1094,,92.33,,92.33
1095,,87.76,,87.76
1096,,88.58,,88.58
1097,,84.55,,84.55
1098,,68.92,,68.92
1099,,67.7,,67.7
1100,,116.42,,116.42
1101,,102.67,,102.67
1102,,88.85,,88.85
1103,,87.29,,87.29
1104,,73.12,,73.12
1105,,75,,75
1106,,69.47,,69.47
1107,,69.67,,69.67
1108,,68.73,,68.73
1109,,71.12,,71.12
1110,,70.06,,70.06
1111,,73.28,,73.28
1112,,69.88,,69.88
1113,,75.77,,75.77
1114,,72.13,,72.13
1115,,69.28,,69.28
1116,,68.43,,68.43
1117,,68.87,,68.87
1118,,73.72,,73.72
1119,,68.79,,68.79
1120,,87.05,,87.05
1121,,98.73,,98.73
1122,,101.78,,101.78
1123,,81.12,,81.12
1124,,86.08,,86.08
1125,,90.24,,90.24
1126,,73.78,,73.78
1127,,71.14,,71.14
1128,,71.23,,71.23
1129,,70.08,,70.08
1130,,70.88,,70.88
1131,,73.8,,73.8
1132,,84.8,,84.8
1133,,68.84,,68.84
1134,,73.76,,73.76
1135,,76.8,,76.8
1136,,96.23,,96.23
1137,,101.55,,101.55
1138,,72.57,,72.57
1139,,69.6,,69.6
1140,,69.13,,69.13
1141,,69.57,,69.57
1142,,70.42,,70.42
1143,,70.08,,70.08
1144,,71.51,,71.51
1145,,67.57,,67.57
1146,,68.92,,68.92
1147,,71.63,,71.63
1148,,73.63,,73.63
1149,,70.96,,70.96
1150,,73.02,,73.02
1151,,69.53,,69.53
1152,,70.45,,70.45
1153,,70.93,,70.93
1154,,71.08,,71.08
1155,,70.22,,70.22
1156,,72.48,,72.48
1157,,68.34,,68.34
1158,,72.51,,72.51
1159,,73.12,,73.12
1160,,68.82,,68.82
1161,,72.04,,72.04
1162,,68.79,,68.79
1163,,77.16,,77.16
1164,,70.02,,70.02
1165,,72.3,,72.3
1166,,72.89,,72.89
1167,,69.93,,69.93
1168,,70.94,,70.94
1169,,71.34,,71.34
1170,,71.41,,71.41
1171,,72.82,,72.82
1172,,71.47,,71.47
1173,,69.87,,69.87
1174,,73.65,,73.65
1175,,68.79,,68.79
1176,,73.32,,73.32
1177,,68.57,,68.57
1178,,71.19,,71.19
1179,,68.38,,68.38
1180,,72.16,,72.16
1181,,71.42,,71.42
1182,,69.02,,69.02
1183,,68.99,,68.99
1184,,73.48,,73.48
1185,,74.45,,74.45
1186,,68.9,,68.9
1187,,71.86,,71.86
1188,,71.97,,71.97
1189,,69.83,,69.83
1190,,70.25,,70.25
1191,,69.79,,69.79
1192,,75.71,,75.71
1193,,70.59,,70.59
1194,,70.03,,70.03
1195,,71.35,,71.35
1196,,70.29,,70.29
1197,,72.04,,72.04
1198,,70.12,,70.12
1199,,71.01,,71.01
1200,,69.41,,69.41
1201,,69.78,,69.78
1202,,71.17,,71.17
1203,,68.49,,68.49
1204,,71.24,,71.24
1205,,71.38,,71.38
1206,,71.63,,71.63
1207,,72.71,,72.71
1208,,70.04,,70.04
1209,,71.27,,71.27
1210,,72.34,,72.34
1211,,72.09,,72.09
1212,,72.16,,72.16
1213,,70.56,,70.56
1214,,68.7,,68.7
1215,,69.01,,69.01
1216,,71.19,,71.19
1217,,69.98,,69.98
1218,,68.53,,68.53
1219,,69.08,,69.08
1220,,71.51,,71.51
1221,,68.78,,68.78
1222,,69.32,,69.32
1223,,69.5,,69.5
1224,,68.01,,68.01
1225,,71.96,,71.96
1226,,71.66,,71.66
1227,,66.88,,66.88
1228,,68.08,,68.08
1229,,71.48,,71.48
1230,,69.61,,69.61
1231,,68.02,,68.02
1232,,69.55,,69.55
1233,,70.2,,70.2
1234,,74.52,,74.52
1235,,69.94,,69.94
1236,,70.76,,70.76
1237,,69.19,,69.19
1238,,72.3,,72.3
1239,,70.64,,70.64
1240,,68.79,,68.79
1241,,69.74,,69.74
1242,,70.23,,70.23
1243,,68.55,,68.55
1244,,70.19,,70.19
1245,,71.86,,71.86
1246,,70.29,,70.29
1247,,69.24,,69.24
1248,,69.51,,69.51
1249,,70.18,,70.18
1250,,68.34,,68.34
1251,,70.92,,70.92
1252,,70.09,,70.09
1253,,68.12,,68.12
1254,,70.47,,70.47
1255,,70.21,,70.21
1256,,68.96,,68.96
1257,,69.6,,69.6
1258,,70.35,,70.35
1259,,71.18,,71.18
1260,,71.28,,71.28
1261,,68.49,,68.49
1262,,68.49,,68.49
1263,,73.42,,73.42
1264,,69.97,,69.97
1265,,67.71,,67.71
1266,,71.29,,71.29
1267,,68.45,,68.45
1268,,69.31,,69.31
1269,,69.9,,69.9
1270,,68.95,,68.95
1271,,72.86,,72.86
1272,,69.54,,69.54
1273,,69.83,,69.83
1274,,69.12,,69.12
1275,,69.33,,69.33
1276,,68.94,,68.94
1277,,72.11,,72.11
1278,,69.07,,69.07
1279,,67.91,,67.91
1280,,71.61,,71.61
1281,,68.81,,68.81
1282,,67.9,,67.9
1283,,71.37,,71.37
1284,,69.54,,69.54
1285,,69.5,,69.5
1286,,72.56,,72.56
1287,,72.28,,72.28
1288,,70.03,,70.03
1289,,69.06,,69.06
1290,,71.15,,71.15
1291,,68.86,,68.86
1292,,69.93,,69.93
1293,,70.51,,70.51
1294,,71.35,,71.35
1295,,69.93,,69.93
1296,,68.93,,68.93
1297,,68.56,,68.56
1298,,69.43,,69.43
1299,,70.53,,70.53
1300,,71.07,,71.07
1301,,69.74,,69.74
1302,,70.25,,70.25
1303,,69.57,,69.57
1304,,71.3,,71.3
1305,,69.4,,69.4
1306,,68.57,,68.57
1307,,68.39,,68.39
1308,,68.27,,68.27
1309,,70.51,,70.51
1310,,69.96,,69.96
1311,,70.21,,70.21
1312,,69.56,,69.56
1313,,68.89,,68.89
1314,,69.17,,69.17
1315,,69,,69
1316,,67.61,,67.61
1317,,69.73,,69.73
1318,,69.51,,69.51
1319,,68.64,,68.64
1320,,69.21,,69.21
1321,,70.91,,70.91
1322,,70.1,,70.1
1323,,69.01,,69.01
1324,,69.38,,69.38
1325,,69.28,,69.28
1326,,68.1,,68.1
1327,,67.7,,67.7
1328,,71.58,,71.58
1329,,67.68,,67.68
1330,,68.9,,68.9
1331,,70.63,,70.63
1332,,73.15,,73.15
1333,,69.12,,69.12
1334,,69.68,,69.68
1335,,69.75,,69.75
1336,,69.77,,69.77
1337,,68.35,,68.35
1338,,69.36,,69.36
1339,,69.82,,69.82
1340,,69.57,,69.57
1341,,67.93,,67.93
1342,,79.91,,79.91
1343,,78.56,,78.56
1344,,85.46,,85.46
1345,,84.72,,84.72
1346,,103.07,,103.07
1347,,96.36,,96.36
1348,,68.28,,68.28
1349,,72.34,,72.34
1350,,136.26,,136.26
1351,,68.78,,68.78
1352,,251.49,,251.49
1353,,143.02,,143.02
1354,,268.18,,268.18
1355,,176.91,,176.91
1356,,137.3,,137.3
1357,,91.26,,91.26
1358,,131.6,,131.6
1359,,103.63,,103.63
1360,,86.93,,86.93
1361,,70.09,,70.09
1362,,68.64,,68.64
1363,,70.22,,70.22
1364,,69.07,,69.07
1365,,70.09,,70.09
1366,,69.71,,69.71
1367,,70.98,,70.98
1368,,69.06,,69.06
1369,,67.89,,67.89
1370,,70.48,,70.48
1371,,67.13,,67.13
1372,,70,,70
1373,,68.25,,68.25
1374,,69.51,,69.51
1375,,67.66,,67.66
1376,,68.02,,68.02
1377,,67.97,,67.97
1378,,96.26,,96.26
1379,,104.81,,104.81
1380,,236.91,,236.91
1381,,198.08,,198.08
1382,,209.22,,209.22
1383,,106.63,,106.63
1384,,103.57,,103.57
1385,,71.97,,71.97
1386,,73.12,,73.12
1387,,86.9,,86.9
1388,,72.42,,72.42
1389,,72.07,,72.07
1390,,69.71,,69.71
1391,,78.59,,78.59
1392,,69.1,,69.1
1393,,71.86,,71.86
1394,,215.07,,215.07
1395,,89.62,,89.62
1396,,157.84,,157.84
1397,,206.94,,206.94
1398,,235.87,,235.87
1399,,249.37,,249.37
1400,,104.25,,104.25
1401,,89.95,,89.95
1402,,86.19,,86.19
1403,,224.82,,224.82
1404,,86.74,,86.74
1405,,108.65,,108.65
1406,,83.99,,83.99
1407,,85.23,,85.23
1408,,71.55,,71.55
1409,,83.84,,83.84
1410,,85.8,,85.8
1411,,126.24,,126.24
1412,,113.19,,113.19
1413,,123.1,,123.1
1414,,121.44,,121.44
1415,,70.38,,70.38
1416,,84.84,,84.84
1417,,88.06,,88.06
1418,,89.89,,89.89
1419,,87.55,,87.55
1420,,84.81,,84.81
1421,,86.33,,86.33
1422,,87.29,,87.29
1423,,70.22,,70.22
1424,,69.57,,69.57
1425,,83.18,,83.18
1426,,80.83,,80.83
1427,,69.76,,69.76
1428,,69.45,,69.45
1429,,72.6,,72.6
1430,,87.92,,87.92
1431,,83.72,,83.72
1432,,68.69,,68.69
1433,,69.26,,69.26
1434,,70.07,,70.07
1435,,70.28,,70.28
1436,,68.58,,68.58
1437,,70.22,,70.22
1438,,104.99,,104.99
1439,,70.78,,70.78
1440,,68.27,,68.27
1441,,69.66,,69.66
1442,,70.25,,70.25
1443,,69.41,,69.41
1444,,68.39,,68.39
1445,,69.72,,69.72
1446,,69.47,,69.47
1447,,68.86,,68.86
1448,,69.4,,69.4
1449,,68.31,,68.31
1450,,88.2,,88.2
1451,,69.61,,69.61
1452,,68.02,,68.02
1453,,69.15,,69.15
1454,,69.16,,69.16
1455,,68.29,,68.29
1456,,80.68,,80.68
1457,,68.83,,68.83
1458,,68.52,,68.52
1459,,69.48,,69.48
1460,,68.25,,68.25
1461,,67.82,,67.82
1462,,68.54,,68.54
1463,,100.48,,100.48
1464,,85.32,,85.32
1465,,164.28,,164.28
1466,,109.59,,109.59
1467,,137.32,,137.32
1468,,157.46,,157.46
1469,,286.31,,286.31
1470,,284.45,,284.45
1471,,152.02,,152.02
1472,,170.17,,170.17
1473,,243.35,,243.35
1474,,86.67,,86.67
1475,,112.74,,112.74
1476,,121.65,,121.65
1477,,86.06,,86.06
1478,,85.8,,85.8
1479,,70.15,,70.15
1480,,82.81,,82.81
1481,,82.56,,82.56
1482,,70.11,,70.11
1483,,72.48,,72.48
1484,,79.15,,79.15
1485,,83.92,,83.92
1486,,72.08,,72.08
1487,,92.51,,92.51
1488,,75.48,,75.48
1489,,73.81,,73.81
1490,,68.97,,68.97
1491,,69.97,,69.97
1492,,77.6,,77.6
1493,,84.26,,84.26
1494,,69.42,,69.42
1495,,85.59,,85.59
1496,,93.93,,93.93
1497,,96.4,,96.4
1498,,69.17,,69.17
1499,,68.94,,68.94
1500,,79.69,,79.69
1501,,67.72,,67.72
1502,,68.75,,68.75
1503,,69.24,,69.24
1504,,84.59,,84.59
1505,,91.9,,91.9
1506,,84.71,,84.71
1507,,80.42,,80.42
1508,,68.32,,68.32
1509,,69.98,,69.98
1510,,68.45,,68.45
1511,,69.97,,69.97
1512,,67.91,,67.91
1513,,70.3,,70.3
1514,,69.12,,69.12
1515,,68.87,,68.87
1516,,67.86,,67.86
1517,,68.29,,68.29
1518,,68.22,,68.22
1519,,71.56,,71.56
1520,,68.95,,68.95
1521,,69.7,,69.7
1522,,68.44,,68.44
1523,,69.06,,69.06
1524,,68.76,,68.76
1525,,69.58,,69.58
1526,,68.81,,68.81
1527,,69.44,,69.44
1528,,71.74,,71.74
1529,,69.05,,69.05
1530,,68.35,,68.35
1531,,69.72,,69.72
1532,,68.29,,68.29
1533,,67.44,,67.44
1534,,67.7,,67.7
1535,,68.5,,68.5
1536,,68.19,,68.19
1537,,69.23,,69.23
1538,,69.47,,69.47
1539,,68.53,,68.53
1540,,70.73,,70.73
1541,,67.16,,67.16
1542,,68.28,,68.28
1543,,66.74,,66.74
1544,,70.31,,70.31
1545,,68.17,,68.17
1546,,69.7,,69.7
1547,,67.69,,67.69
1548,,70.16,,70.16
1549,,69.37,,69.37
1550,,69.2,,69.2
1551,,70.58,,70.58
1552,,106.83,,106.83
1553,,69.87,,69.87
1554,,71.26,,71.26
1555,,71.76,,71.76
1556,,87.98,,87.98
1557,,209.36,,209.36
1558,,124.71,,124.71
1559,,115.73,,115.73
1560,,116.17,,116.17
1561,,100.85,,100.85
1562,,85.53,,85.53
1563,,232.21,,232.21
1564,,221.95,,221.95
1565,,221.87,,221.87
1566,,120.85,,120.85
1567,,119.77,,119.77
1568,,260.65,,260.65
1569,,290.24,,290.24
1570,,300,,300
1571,,251.41,,251.41
1572,,299.38,,299.38
1573,,293.8,,293.8
1574,,300,,300
1575,,300,,300
1576,,298.8,,298.8
1577,,293.12,,293.12
1578,,295.27,,295.27
1579,,300,,300
1580,,284.53,,284.53
1581,,300,,300
1582,,181.77,,181.77
1583,,279.76,,279.76
1584,,298.42,,298.42
1585,,166.73,,166.73
1586,,254.62,,254.62
1587,,285.82,,285.82
1588,,210.31,,210.31
1589,,158.82,,158.82
1590,,201.87,,201.87
1591,,108.62,,108.62
1592,,109.91,,109.91
1593,,250.52,,250.52
1594,,116.81,,116.81
1595,,260.56,,260.56
1596,,116.55,,116.55
1597,,106.15,,106.15
1598,,113.92,,113.92
1599,,217.34,,217.34
1600,,68.38,,68.38
1601,,101.99,,101.99
1602,,85.28,,85.28
1603,,80.56,,80.56
1604,,68.92,,68.92
1605,,67.45,,67.45
1606,,68.43,,68.43
1607,,85.29,,85.29
1608,,67.27,,67.27
1609,,69.01,,69.01
1610,,67.99,,67.99
1611,,67.8,,67.8
1612,,69,,69
1613,,68.43,,68.43
1614,,66.86,,66.86
1615,,67.89,,67.89
1616,,68.54,,68.54
1617,,68.13,,68.13
1618,,67.67,,67.67
1619,,67.21,,67.21
1620,,68.31,,68.31
1621,,67.16,,67.16
1622,,68.58,,68.58
1623,,69.18,,69.18
1624,,68.21,,68.21
1625,,69.62,,69.62
1626,,69.9,,69.9
1627,,72.12,,72.12
1628,,68.67,,68.67
1629,,68.63,,68.63
1630,,67.8,,67.8
1631,,67.9,,67.9
1632,,67.32,,67.32
1633,,68.47,,68.47
1634,,69.74,,69.74
1635,,69.59,,69.59
1636,,67.9,,67.9
1637,,67.83,,67.83
1638,,67.72,,67.72
1639,,67.29,,67.29
1640,,68.45,,68.45
1641,,67.77,,67.77
1642,,71.6,,71.6
1643,,67.8,,67.8
1644,,68.64,,68.64
1645,,68.35,,68.35
1646,,68.12,,68.12
1647,,68.54,,68.54
1648,,66.46,,66.46
1649,,67.94,,67.94
1650,,68.73,,68.73
1651,,69.54,,69.54
1652,,67.96,,67.96
1653,,68.59,,68.59
1654,,69.76,,69.76
1655,,68.67,,68.67
1656,,69.51,,69.51
1657,,68.57,,68.57
1658,,69.01,,69.01
1659,,69.04,,69.04
1660,,69.27,,69.27
1661,,69.13,,69.13
1662,,68.63,,68.63
1663,,68.59,,68.59
1664,,95.18,,95.18
1665,,93.38,,93.38
1666,,70.65,,70.65
1667,,67.5,,67.5
1668,,68.32,,68.32
1669,,68.15,,68.15
1670,,68.98,,68.98
1671,,70.07,,70.07
1672,,69.11,,69.11
1673,,68.71,,68.71
1674,,67.88,,67.88
1675,,96.84,,96.84
1676,,92.79,,92.79
1677,,68.48,,68.48
1678,,68.42,,68.42
1679,,67.71,,67.71
1680,,67.65,,67.65
1681,,69.66,,69.66
1682,,68.62,,68.62
1683,,70.97,,70.97
1684,,67.75,,67.75
1685,,67.33,,67.33
1686,,77.01,,77.01
1687,,75.44,,75.44
1688,,77.99,,77.99
1689,,69.84,,69.84
1690,,75.31,,75.31
1691,,68.39,,68.39
1692,,69.45,,69.45
1693,,104.92,,104.92
1694,,66.93,,66.93
1695,,78.15,,78.15
1696,,81.73,,81.73
1697,,70.37,,70.37
1698,,68.14,,68.14
1699,,69.17,,69.17
1700,,69.34,,69.34
1701,,68.35,,68.35
1702,,84.6,,84.6
1703,,68.95,,68.95
1704,,67.54,,67.54
1705,,68.17,,68.17
1706,,68.73,,68.73
1707,,68.08,,68.08
1708,,67.79,,67.79
1709,,67.63,,67.63
1710,,67.95,,67.95
1711,,69.11,,69.11
1712,,70.33,,70.33
1713,,69.19,,69.19
1714,,69.65,,69.65
1715,,69.54,,69.54
1716,,67.56,,67.56
1717,,68.99,,68.99
1718,,68.79,,68.79
1719,,68.24,,68.24
1720,,70.17,,70.17
1721,,67.98,,67.98
1722,,68.41,,68.41
1723,,67.69,,67.69
1724,,68.51,,68.51
1725,,68.49,,68.49
1726,,67.91,,67.91
1727,,68.84,,68.84
1728,,68.7,,68.7
1729,,69.52,,69.52
1730,,67.23,,67.23
1731,,68.98,,68.98
1732,,68.45,,68.45
1733,,73.08,,73.08
1734,,67.88,,67.88
1735,,67.56,,67.56
1736,,66.58,,66.58
1737,,68.82,,68.82
1738,,69.41,,69.41
1739,,66.97,,66.97
1740,,68.02,,68.02
1741,,67.84,,67.84
1742,,68.42,,68.42
1743,,67.17,,67.17
1744,,68.82,,68.82
1745,,69.78,,69.78
1746,,84.11,,84.11
1747,,69.85,,69.85
1748,,86.1,,86.1
1749,,68.11,,68.11
1750,,67.02,,67.02
1751,,68.08,,68.08
1752,,65.89,,65.89
1753,,68.42,,68.42
1754,,67.54,,67.54
1755,,69.18,,69.18
1756,,69.52,,69.52
1757,,68.52,,68.52
1758,,68.32,,68.32
1759,,68.95,,68.95
1760,,67.78,,67.78
1761,,68.4,,68.4
1762,,67.22,,67.22
1763,,68.47,,68.47
1764,,67.83,,67.83
1765,,68.16,,68.16
1766,,67.94,,67.94
1767,,69.71,,69.71
1768,,69.06,,69.06
1769,,69.44,,69.44
1770,,68.13,,68.13
1771,,70.93,,70.93
1772,,69.56,,69.56
1773,,68.84,,68.84
1774,,68.5,,68.5
1775,,68.11,,68.11
1776,,68.27,,68.27
1777,,67.94,,67.94
1778,,70.17,,70.17
1779,,67.42,,67.42
1780,,66.94,,66.94
1781,,67.08,,67.08
1782,,66.54,,66.54
1783,,68.97,,68.97
1784,,68.96,,68.96
1785,,68.11,,68.11
1786,,69.56,,69.56
1787,,68.44,,68.44
1788,,67.33,,67.33
1789,,71.45,,71.45
1790,,67.84,,67.84
1791,,69.12,,69.12
1792,,70.31,,70.31
1793,,70.57,,70.57
1794,,68.69,,68.69
1795,,68.09,,68.09
1796,,67.95,,67.95
1797,,68.62,,68.62
1798,,170.45,,170.45
1799,,167.69,,167.69
1800,,68.55,,68.55
1801,,70.81,,70.81
1802,,67.98,,67.98
1803,,69.29,,69.29
1804,,88.54,,88.54
1805,,68.68,,68.68
1806,,207.12,,207.12
1807,,117.47,,117.47
1808,,289.24,,289.24
1809,,276.66,,276.66
1810,,299.3,,299.3
1811,,294.11,,294.11
1812,,280.68,,280.68
1813,,278.96,,278.96
1814,,300,,300
1815,,279.91,,279.91
1816,,300,,300
1817,,297.3,,297.3
1818,,300,,300
1819,,278.48,,278.48
1820,,249.98,,249.98
1821,,288.73,,288.73
1822,,271.48,,271.48
1823,,277.43,,277.43
1824,,279.58,,279.58
1825,,290.11,,290.11
1826,,215.48,,215.48
1827,,287.7,,287.7
1828,,245.12,,245.12
1829,,137.93,,137.93
1830,,120.65,,120.65
1831,,214.57,,214.57
1832,,147.86,,147.86
1833,,97.46,,97.46
1834,,117.93,,117.93
1835,,133.85,,133.85
1836,,170.47,,170.47
1837,,151.37,,151.37
1838,,119.69,,119.69
1839,,141.3,,141.3
1840,,103.84,,103.84
1841,,122.55,,122.55
1842,,100.8,,100.8
1843,,67.73,,67.73
1844,,83.25,,83.25
1845,,70.58,,70.58
1846,,84.26,,84.26
1847,,80.17,,80.17
1848,,86.94,,86.94
1849,,67.12,,67.12
1850,,71.08,,71.08
1851,,81.03,,81.03
1852,,73.92,,73.92
1853,,69.74,,69.74
1854,,67.68,,67.68
1855,,68.19,,68.19
1856,,67.4,,67.4
1857,,68.12,,68.12
1858,,68.22,,68.22
1859,,69.49,,69.49
1860,,67.64,,67.64
1861,,71.02,,71.02
1862,,67.6,,67.6
1863,,68.53,,68.53
1864,,68.21,,68.21
1865,,67.15,,67.15
1866,,70.33,,70.33
1867,,68.31,,68.31
1868,,68.15,,68.15
1869,,67.21,,67.21
1870,,70.81,,70.81
1871,,68.13,,68.13
1872,,68.21,,68.21
1873,,67.85,,67.85
1874,,68.75,,68.75
1875,,68.01,,68.01
1876,,82.59,,82.59
1877,,68.6,,68.6
1878,,67.57,,67.57
1879,,66.57,,66.57
1880,,69.2,,69.2
1881,,68.15,,68.15
1882,,68.33,,68.33
1883,,70.64,,70.64
1884,,69.65,,69.65
1885,,68.54,,68.54
1886,,69.09,,69.09
1887,,83.79,,83.79
1888,,68.56,,68.56
1889,,67.96,,67.96
1890,,67.23,,67.23
1891,,69.08,,69.08
1892,,80.64,,80.64
1893,,79.99,,79.99
1894,,92.9,,92.9
1895,,84.94,,84.94
1896,,88.66,,88.66
1897,,287.84,,287.84
1898,,227.75,,227.75
1899,,155.69,,155.69
1900,,250.84,,250.84
1901,,143.41,,143.41
1902,,149.71,,149.71
1903,,186.75,,186.75
1904,,144.89,,144.89
1905,,69.77,,69.77
1906,,117.29,,117.29
1907,,171.72,,171.72
1908,,105.8,,105.8
1909,,83.25,,83.25
1910,,100.96,,100.96
1911,,118.9,,118.9
1912,,87.7,,87.7
1913,,147.98,,147.98
1914,,229.07,,229.07
1915,,122.95,,122.95
1916,,67.35,,67.35
1917,,66.44,,66.44
1918,,98.54,,98.54
1919,,67.6,,67.6
1920,,98.9,,98.9
1921,,84.29,,84.29
1922,,68.45,,68.45
1923,,150.56,,150.56
1924,,96.72,,96.72
1925,,68.24,,68.24
1926,,101.37,,101.37
1927,,213.07,,213.07
1928,,100.77,,100.77
1929,,257.91,,257.91
1930,,206.63,,206.63
1931,,162.71,,162.71
1932,,103.05,,103.05
1933,,223.65,,223.65
1934,,84.68,,84.68
1935,,100.8,,100.8
1936,,74.66,,74.66
1937,,73.69,,73.69
1938,,76.29,,76.29
1939,,78.5,,78.5
1940,,69.67,,69.67
1941,,69.37,,69.37
1942,,67.67,,67.67
1943,,66.69,,66.69
1944,,68.4,,68.4
1945,,68.01,,68.01
1946,,67.68,,67.68
1947,,68.5,,68.5
1948,,83.84,,83.84
1949,,81.92,,81.92
1950,,67.38,,67.38
1951,,67.71,,67.71
1952,,68.83,,68.83
1953,,68.76,,68.76
1954,,67.3,,67.3
1955,,68.17,,68.17
1956,,68.81,,68.81
1957,,67.18,,67.18
1958,,67.3,,67.3
1959,,67.8,,67.8
1960,,69.91,,69.91
1961,,70.46,,70.46
1962,,67.61,,67.61
1963,,69.32,,69.32
1964,,68.98,,68.98
1965,,69.24,,69.24
1966,,68.75,,68.75
1967,,71.29,,71.29
1968,,68.38,,68.38
1969,,70.21,,70.21
1970,,69.08,,69.08
1971,,71.17,,71.17
1972,,85.5,,85.5
1973,,85.2,,85.2
1974,,84.52,,84.52
1975,,86.26,,86.26
1976,,69.75,,69.75
1977,,66.19,,66.19
1978,,69.08,,69.08
1979,,67.25,,67.25
1980,,67.95,,67.95
1981,,69.8,,69.8
1982,,68.45,,68.45
1983,,70.04,,70.04
1984,,68.11,,68.11
1985,,68.45,,68.45
1986,,68.01,,68.01
1987,,68.22,,68.22
1988,,67.84,,67.84
1989,,77.59,,77.59
1990,,67.49,,67.49
1991,,67.33,,67.33
1992,,67.58,,67.58
1993,,69.01,,69.01
1994,,86.15,,86.15
1995,,81.04,,81.04
1996,,288.67,,288.67
1997,,262.01,,262.01
1998,,143.56,,143.56
1999,,227.14,,227.14
2000,,141.34,,141.34
2001,,155.5,,155.5
2002,,103.03,,103.03
2003,,107.05,,107.05
2004,,68.35,,68.35
