steps,(All),,,
2005,,127.4,,127.4
2006,,134.47,,134.47
2007,,102.07,,102.07
2008,,247.75,,247.75
2009,,190.68,,190.68
2010,,103.61,,103.61
2011,,254.26,,254.26
2012,,125.26,,125.26
2013,,297.47,,297.47
2014,,109.28,,109.28
2015,,109.8,,109.8
2016,,145.01,,145.01
2017,,77.17,,77.17
2018,,104.14,,104.14
2019,,91.15,,91.15
2020,,86.99,,86.99
2021,,84.42,,84.42
2022,,68.95,,68.95
2023,,98.05,,98.05
2024,,110.03,,110.03
2025,,225.5,,225.5
2026,,85.28,,85.28
2027,,224.78,,224.78
2028,,114.57,,114.57
2029,,118.85,,118.85
2030,,91.07,,91.07
2031,,86.14,,86.14
2032,,107.06,,107.06
2033,,86.09,,86.09
2034,,135.24,,135.24
2035,,87.8,,87.8
2036,,158.93,,158.93
2037,,83.61,,83.61
2038,,100.5,,100.5
2039,,149.68,,149.68
2040,,99.05,,99.05
2041,,85,,85
2042,,85.63,,85.63
2043,,109.83,,109.83
2044,,69.33,,69.33
2045,,101.21,,101.21
2046,,69.08,,69.08
2047,,67.84,,67.84
2048,,69.71,,69.71
2049,,78.63,,78.63
2050,,84.27,,84.27
2051,,79.52,,79.52
2052,,69.32,,69.32
2053,,68.81,,68.81
2054,,71.58,,71.58
2055,,72.38,,72.38
2056,,84.31,,84.31
2057,,69.57,,69.57
2058,,69.63,,69.63
2059,,74.1,,74.1
2060,,76.33,,76.33
2061,,84.05,,84.05
2062,,68.88,,68.88
2063,,81.24,,81.24
2064,,70.15,,70.15
2065,,72,,72
2066,,67.9,,67.9
2067,,75.67,,75.67
2068,,74.02,,74.02
2069,,80.97,,80.97
2070,,78.37,,78.37
2071,,69.33,,69.33
2072,,69.04,,69.04
2073,,78.34,,78.34
2074,,69.43,,69.43
2075,,68.23,,68.23
2076,,83.63,,83.63
2077,,99.36,,99.36
2078,,67.92,,67.92
2079,,68.6,,68.6
2080,,68.01,,68.01
2081,,67.74,,67.74
2082,,68.79,,68.79
2083,,68.23,,68.23
2084,,66.02,,66.02
2085,,69.47,,69.47
2086,,68.83,,68.83
2087,,70.18,,70.18
2088,,80.22,,80.22
2089,,67.51,,67.51
2090,,68.55,,68.55
2091,,70.29,,70.29
2092,,65.99,,65.99
2093,,69.2,,69.2
2094,,68.08,,68.08
2095,,68.12,,68.12
2096,,68.9,,68.9
2097,,67.95,,67.95
2098,,67.63,,67.63
2099,,68.12,,68.12
2100,,67.77,,67.77
2101,,69.37,,69.37
2102,,67.27,,67.27
2103,,68.33,,68.33
2104,,69,,69
2105,,67.99,,67.99
2106,,69.13,,69.13
2107,,68.25,,68.25
2108,,67.65,,67.65
2109,,69.53,,69.53
2110,,71.88,,71.88
2111,,67.15,,67.15
2112,,69.61,,69.61
2113,,67.86,,67.86
2114,,69.11,,69.11
2115,,67.72,,67.72
2116,,68.67,,68.67
2117,,68.97,,68.97
2118,,68.93,,68.93
2119,,68.09,,68.09
2120,,68.48,,68.48
2121,,69.29,,69.29
2122,,70.5,,70.5
2123,,70.04,,70.04
2124,,68.66,,68.66
2125,,67.45,,67.45
2126,,69.29,,69.29
2127,,72.05,,72.05
2128,,68.07,,68.07
2129,,69.45,,69.45
2130,,68.46,,68.46
2131,,67.88,,67.88
2132,,67.95,,67.95
2133,,67.12,,67.12
2134,,72.37,,72.37
2135,,68.88,,68.88
2136,,69.15,,69.15
2137,,68.63,,68.63
2138,,71.76,,71.76
2139,,68.63,,68.63
2140,,67.22,,67.22
2141,,68.62,,68.62
2142,,69.57,,69.57
2143,,68.75,,68.75
2144,,67.7,,67.7
2145,,68.38,,68.38
2146,,68.34,,68.34
2147,,69.87,,69.87
2148,,68.49,,68.49
2149,,67.54,,67.54
2150,,82.28,,82.28
2151,,70.8,,70.8
2152,,68.21,,68.21
2153,,68.89,,68.89
2154,,68.81,,68.81
2155,,68.67,,68.67
2156,,69.35,,69.35
2157,,68.87,,68.87
2158,,68.43,,68.43
2159,,68.14,,68.14
2160,,71.12,,71.12
2161,,68.34,,68.34
2162,,68.48,,68.48
2163,,67.39,,67.39
2164,,92.63,,92.63
2165,,95.91,,95.91
2166,,106.87,,106.87
2167,,66.89,,66.89
2168,,81.01,,81.01
2169,,177.29,,177.29
2170,,240.96,,240.96
2171,,129.79,,129.79
2172,,256.32,,256.32
2173,,164.62,,164.62
2174,,270.48,,270.48
2175,,298.5,,298.5
2176,,286.82,,286.82
2177,,263.16,,263.16
2178,,297.22,,297.22
2179,,291.75,,291.75
2180,,299.17,,299.17
2181,,275.25,,275.25
2182,,272.15,,272.15
2183,,201.89,,201.89
2184,,189.8,,189.8
2185,,147.06,,147.06
2186,,263.56,,263.56
2187,,185.75,,185.75
2188,,298.87,,298.87
2189,,96.69,,96.69
2190,,151.88,,151.88
2191,,118.1,,118.1
2192,,238.46,,238.46
2193,,108.69,,108.69
2194,,112.22,,112.22
2195,,113.67,,113.67
2196,,116.21,,116.21
2197,,118.02,,118.02
2198,,103.26,,103.26
2199,,109.26,,109.26
2200,,111.05,,111.05
2201,,86.35,,86.35
2202,,69.73,,69.73
2203,,68.71,,68.71
2204,,70.1,,70.1
2205,,115.16,,115.16
2206,,66.64,,66.64
2207,,68.55,,68.55
2208,,68.68,,68.68
2209,,70.79,,70.79
2210,,69.5,,69.5
2211,,67.33,,67.33
2212,,68.83,,68.83
2213,,67.87,,67.87
2214,,70.71,,70.71
2215,,67.62,,67.62
2216,,68.13,,68.13
2217,,68.91,,68.91
2218,,69.14,,69.14
2219,,67.75,,67.75
2220,,67.88,,67.88
2221,,68.29,,68.29
2222,,67.15,,67.15
2223,,66.61,,66.61
2224,,68.29,,68.29
2225,,67.37,,67.37
2226,,67.31,,67.31
2227,,67.81,,67.81
2228,,69.45,,69.45
2229,,67.76,,67.76
2230,,68.02,,68.02
2231,,68.45,,68.45
2232,,67.52,,67.52
2233,,68.17,,68.17
2234,,69.28,,69.28
2235,,68.55,,68.55
2236,,68.17,,68.17
2237,,70.17,,70.17
2238,,68.34,,68.34
2239,,69.14,,69.14
2240,,68.53,,68.53
2241,,67.6,,67.6
2242,,68.19,,68.19
2243,,68.38,,68.38
2244,,68.02,,68.02
2245,,86.23,,86.23
2246,,68.07,,68.07
2247,,69.04,,69.04
2248,,69.45,,69.45
2249,,68.8,,68.8
2250,,69.73,,69.73
2251,,68.13,,68.13
2252,,68.76,,68.76
2253,,68.63,,68.63
2254,,67.48,,67.48
2255,,68.58,,68.58
2256,,66.85,,66.85
2257,,85.68,,85.68
2258,,67.89,,67.89
2259,,68.1,,68.1
2260,,71.18,,71.18
2261,,96.11,,96.11
2262,,96.63,,96.63
2263,,178.06,,178.06
2264,,215.12,,215.12
2265,,173.5,,173.5
2266,,177.77,,177.77
2267,,88.52,,88.52
2268,,90.25,,90.25
2269,,91.19,,91.19
2270,,237.8,,237.8
2271,,94.81,,94.81
2272,,126.02,,126.02
2273,,144.6,,144.6
2274,,221.01,,221.01
2275,,174.66,,174.66
2276,,88.69,,88.69
2277,,232.18,,232.18
2278,,141.47,,141.47
2279,,119.38,,119.38
2280,,106.33,,106.33
2281,,117.72,,117.72
2282,,121.51,,121.51
2283,,149.1,,149.1
2284,,143.76,,143.76
2285,,233.17,,233.17
2286,,252.54,,252.54
2287,,210.84,,210.84
2288,,176.5,,176.5
2289,,132.16,,132.16
2290,,71.13,,71.13
2291,,67.16,,67.16
2292,,89.04,,89.04
2293,,84.17,,84.17
2294,,116.22,,116.22
2295,,69.34,,69.34
2296,,83.95,,83.95
2297,,84.37,,84.37
2298,,68.63,,68.63
2299,,66.55,,66.55
2300,,84.56,,84.56
2301,,69.74,,69.74
2302,,83.37,,83.37
2303,,114.98,,114.98
2304,,83.42,,83.42
2305,,68.33,,68.33
2306,,83.15,,83.15
2307,,67.55,,67.55
2308,,68.76,,68.76
2309,,69.52,,69.52
2310,,67.01,,67.01
2311,,68.7,,68.7
2312,,67.69,,67.69
2313,,70.2,,70.2
2314,,68.83,,68.83
2315,,67.45,,67.45
2316,,69.59,,69.59
2317,,70.1,,70.1
2318,,69.23,,69.23
2319,,68.5,,68.5
2320,,67.9,,67.9
2321,,68.09,,68.09
2322,,66.88,,66.88
2323,,68.85,,68.85
2324,,66.69,,66.69
2325,,67.31,,67.31
2326,,67.81,,67.81
2327,,66.53,,66.53
2328,,68.06,,68.06
2329,,67.67,,67.67
2330,,68.56,,68.56
2331,,69.33,,69.33
2332,,68.93,,68.93
2333,,67.58,,67.58
2334,,67.7,,67.7
2335,,68.81,,68.81
2336,,68.32,,68.32
2337,,69.9,,69.9
2338,,68.48,,68.48
2339,,67.87,,67.87
2340,,67.35,,67.35
2341,,66.18,,66.18
2342,,68.65,,68.65
2343,,69.31,,69.31
2344,,68.3,,68.3
2345,,66.47,,66.47
2346,,68.33,,68.33
2347,,67.36,,67.36
2348,,67.24,,67.24
2349,,68.84,,68.84
2350,,68.87,,68.87
2351,,68.69,,68.69
2352,,70.1,,70.1
2353,,67.42,,67.42
2354,,67.2,,67.2
2355,,66.99,,66.99
2356,,67.31,,67.31
2357,,68.66,,68.66
2358,,67.75,,67.75
2359,,81.64,,81.64
2360,,70.02,,70.02
2361,,86.27,,86.27
2362,,83.98,,83.98
2363,,70.88,,70.88
2364,,69.05,,69.05
2365,,69.9,,69.9
2366,,122.04,,122.04
2367,,115.21,,115.21
2368,,227.38,,227.38
2369,,94.64,,94.64
2370,,70.58,,70.58
2371,,67.45,,67.45
2372,,68.58,,68.58
2373,,67.79,,67.79
2374,,67.5,,67.5
2375,,69.33,,69.33
2376,,68.75,,68.75
2377,,67.89,,67.89
2378,,71.19,,71.19
2379,,67.65,,67.65
2380,,68.03,,68.03
2381,,68.66,,68.66
2382,,69.05,,69.05
2383,,68.68,,68.68
2384,,67.69,,67.69
2385,,66.73,,66.73
2386,,68.73,,68.73
2387,,68.77,,68.77
2388,,70.22,,70.22
2389,,68.3,,68.3
2390,,66.69,,66.69
2391,,69.92,,69.92
2392,,66.27,,66.27
2393,,67.6,,67.6
2394,,67.54,,67.54
2395,,69.43,,69.43
2396,,70,,70
2397,,67.48,,67.48
2398,,68.05,,68.05
2399,,67.36,,67.36
2400,,67.61,,67.61
2401,,68.32,,68.32
2402,,66.84,,66.84
2403,,67.4,,67.4
2404,,66.36,,66.36
2405,,66.68,,66.68
2406,,67.47,,67.47
2407,,67.65,,67.65
2408,,67.5,,67.5
2409,,67.04,,67.04
2410,,67.38,,67.38
2411,,70.3,,70.3
2412,,67.49,,67.49
2413,,67.97,,67.97
2414,,67.64,,67.64
2415,,67.42,,67.42
2416,,68.42,,68.42
2417,,68.56,,68.56
2418,,67.44,,67.44
2419,,66.18,,66.18
2420,,67.9,,67.9
2421,,66.67,,66.67
2422,,67.45,,67.45
2423,,68.43,,68.43
2424,,67.83,,67.83
2425,,68.68,,68.68
2426,,68.14,,68.14
2427,,70.1,,70.1
2428,,68.14,,68.14
2429,,68.08,,68.08
2430,,70.15,,70.15
2431,,68.46,,68.46
2432,,71.05,,71.05
2433,,67.76,,67.76
2434,,68.81,,68.81
2435,,70.4,,70.4
2436,,68.43,,68.43
2437,,68.7,,68.7
2438,,66.7,,66.7
2439,,67.38,,67.38
2440,,67.67,,67.67
2441,,70.14,,70.14
2442,,68.04,,68.04
2443,,67.72,,67.72
2444,,69.22,,69.22
2445,,68.16,,68.16
2446,,68.19,,68.19
2447,,68.2,,68.2
2448,,66.83,,66.83
2449,,68.85,,68.85
2450,,69.91,,69.91
2451,,68.08,,68.08
2452,,68.64,,68.64
2453,,69.67,,69.67
2454,,68.18,,68.18
2455,,67.45,,67.45
2456,,69.11,,69.11
2457,,68.07,,68.07
2458,,68.94,,68.94
2459,,67.49,,67.49
2460,,67.84,,67.84
2461,,90.96,,90.96
2462,,79.23,,79.23
2463,,76.49,,76.49
2464,,72.07,,72.07
2465,,81.38,,81.38
2466,,79.96,,79.96
2467,,71.77,,71.77
2468,,70.62,,70.62
2469,,70.35,,70.35
2470,,75.51,,75.51
2471,,68.71,,68.71
2472,,68.67,,68.67
2473,,67.04,,67.04
2474,,67.18,,67.18
2475,,71.84,,71.84
2476,,68.47,,68.47
2477,,70.86,,70.86
2478,,82.86,,82.86
2479,,65.99,,65.99
2480,,68.3,,68.3
2481,,68.76,,68.76
2482,,70.15,,70.15
2483,,67.26,,67.26
2484,,70.53,,70.53
2485,,67.51,,67.51
2486,,69.71,,69.71
2487,,72.09,,72.09
2488,,67.84,,67.84
2489,,67.57,,67.57
2490,,67.36,,67.36
2491,,67.79,,67.79
2492,,70.99,,70.99
2493,,71.11,,71.11
2494,,68.44,,68.44
2495,,69.11,,69.11
2496,,71.32,,71.32
2497,,71.26,,71.26
2498,,71,,71
2499,,69.09,,69.09
2500,,67.39,,67.39
2501,,71.86,,71.86
2502,,67.82,,67.82
2503,,68.43,,68.43
2504,,70.09,,70.09
2505,,71.67,,71.67
2506,,74.79,,74.79
2507,,70.14,,70.14
2508,,69.04,,69.04
2509,,68.95,,68.95
2510,,71.89,,71.89
2511,,67.41,,67.41
2512,,71.46,,71.46
2513,,69.5,,69.5
2514,,71.6,,71.6
2515,,67.73,,67.73
2516,,67.23,,67.23
2517,,68.65,,68.65
2518,,73.59,,73.59
2519,,67.01,,67.01
2520,,67.95,,67.95
2521,,70.96,,70.96
2522,,68.65,,68.65
2523,,68.24,,68.24
2524,,68.37,,68.37
2525,,70.42,,70.42
2526,,71.97,,71.97
2527,,67.59,,67.59
2528,,68.69,,68.69
2529,,69.19,,69.19
2530,,67.17,,67.17
2531,,68.9,,68.9
2532,,69.78,,69.78
2533,,72.79,,72.79
2534,,66.39,,66.39
2535,,68.07,,68.07
2536,,68.8,,68.8
2537,,68.26,,68.26
2538,,68.8,,68.8
2539,,69.51,,69.51
2540,,71.95,,71.95
2541,,71.88,,71.88
2542,,70.94,,70.94
2543,,68.91,,68.91
2544,,68.18,,68.18
2545,,71.4,,71.4
2546,,70.85,,70.85
2547,,67.95,,67.95
2548,,70.65,,70.65
2549,,71.85,,71.85
2550,,68.88,,68.88
2551,,71.11,,71.11
2552,,70.58,,70.58
2553,,70.27,,70.27
2554,,67.8,,67.8
2555,,69.77,,69.77
2556,,99.07,,99.07
2557,,99.99,,99.99
2558,,99.99,,99.99
2559,,103.54,,103.54
2560,,84.95,,84.95
2561,,68.69,,68.69
2562,,68.03,,68.03
2563,,67.92,,67.92
2564,,69.35,,69.35
2565,,68.27,,68.27
2566,,67.02,,67.02
2567,,67.86,,67.86
2568,,74.46,,74.46
2569,,68.57,,68.57
2570,,98.84,,98.84
2571,,68.63,,68.63
2572,,69.31,,69.31
2573,,67.23,,67.23
2574,,68.25,,68.25
2575,,68.35,,68.35
2576,,67.39,,67.39
2577,,100.15,,100.15
2578,,93.34,,93.34
2579,,126.89,,126.89
2580,,113.72,,113.72
2581,,119.81,,119.81
2582,,272.48,,272.48
2583,,246.63,,246.63
2584,,96.01,,96.01
2585,,229.14,,229.14
2586,,232.88,,232.88
2587,,232.47,,232.47
2588,,133.95,,133.95
2589,,170.87,,170.87
2590,,147.21,,147.21
2591,,137.1,,137.1
2592,,177.67,,177.67
2593,,176.91,,176.91
2594,,232.09,,232.09
2595,,162.22,,162.22
2596,,253.38,,253.38
2597,,226.52,,226.52
2598,,122.11,,122.11
2599,,191.22,,191.22
2600,,257.76,,257.76
2601,,117.39,,117.39
2602,,195.98,,195.98
2603,,223.6,,223.6
2604,,268.72,,268.72
2605,,287.84,,287.84
2606,,279.17,,279.17
2607,,118.22,,118.22
2608,,97.45,,97.45
2609,,102.06,,102.06
2610,,292.36,,292.36
2611,,129.73,,129.73
2612,,102.99,,102.99
2613,,198.44,,198.44
2614,,133.14,,133.14
2615,,250.29,,250.29
2616,,154.94,,154.94
2617,,70.04,,70.04
2618,,85.04,,85.04
2619,,97.71,,97.71
2620,,85.16,,85.16
2621,,68.71,,68.71
2622,,83.09,,83.09
2623,,71.01,,71.01
2624,,87.23,,87.23
2625,,87.25,,87.25
2626,,69.99,,69.99
2627,,68.27,,68.27
2628,,70.6,,70.6
2629,,70.85,,70.85
2630,,77.68,,77.68
2631,,75.67,,75.67
2632,,76.24,,76.24
2633,,78.83,,78.83
2634,,69.49,,69.49
2635,,68.09,,68.09
2636,,66.07,,66.07
2637,,68.7,,68.7
2638,,68.99,,68.99
2639,,67.61,,67.61
2640,,67.37,,67.37
2641,,68.83,,68.83
2642,,67.09,,67.09
2643,,69.16,,69.16
2644,,67.7,,67.7
2645,,67.33,,67.33
2646,,69.32,,69.32
2647,,68.36,,68.36
2648,,67.13,,67.13
2649,,67.65,,67.65
2650,,67.49,,67.49
2651,,67.65,,67.65
2652,,71.26,,71.26
2653,,97.89,,97.89
2654,,84.44,,84.44
2655,,119.38,,119.38
2656,,84.13,,84.13
2657,,69.15,,69.15
2658,,67.64,,67.64
2659,,68.31,,68.31
2660,,69.06,,69.06
2661,,66.35,,66.35
2662,,68.38,,68.38
2663,,68.13,,68.13
2664,,68.76,,68.76
2665,,67.65,,67.65
2666,,68.47,,68.47
2667,,67.32,,67.32
2668,,68.5,,68.5
2669,,70.09,,70.09
2670,,67.53,,67.53
2671,,68.52,,68.52
2672,,69.12,,69.12
2673,,69.8,,69.8
2674,,68.58,,68.58
2675,,67.09,,67.09
2676,,67.91,,67.91
2677,,69.6,,69.6
2678,,68.54,,68.54
2679,,69.25,,69.25
2680,,67.37,,67.37
2681,,68.38,,68.38
2682,,70.09,,70.09
2683,,68.02,,68.02
2684,,68.8,,68.8
2685,,67.35,,67.35
2686,,67.75,,67.75
2687,,82.52,,82.52
2688,,69.08,,69.08
2689,,67.28,,67.28
2690,,68.78,,68.78
2691,,69.06,,69.06
2692,,70.06,,70.06
2693,,69.8,,69.8
2694,,68.21,,68.21
2695,,78.76,,78.76
2696,,77.22,,77.22
2697,,78.94,,78.94
2698,,96.91,,96.91
2699,,213.1,,213.1
2700,,261.97,,261.97
2701,,97.97,,97.97
2702,,239.19,,239.19
2703,,219.09,,219.09
2704,,122.44,,122.44
2705,,95.06,,95.06
2706,,101.96,,101.96
2707,,183.69,,183.69
2708,,82.6,,82.6
2709,,92.93,,92.93
2710,,86.89,,86.89
2711,,87.78,,87.78
2712,,78.11,,78.11
2713,,70.02,,70.02
2714,,72.02,,72.02
2715,,70.7,,70.7
2716,,70.51,,70.51
2717,,69.72,,69.72
2718,,85.64,,85.64
2719,,71.87,,71.87
2720,,83.28,,83.28
2721,,106.66,,106.66
2722,,70.86,,70.86
2723,,76.67,,76.67
2724,,79.77,,79.77
2725,,82.89,,82.89
2726,,69.63,,69.63
2727,,103.54,,103.54
2728,,72.25,,72.25
2729,,81.54,,81.54
2730,,68.41,,68.41
2731,,72.44,,72.44
2732,,69.77,,69.77
2733,,67.57,,67.57
2734,,82.6,,82.6
2735,,71.42,,71.42
2736,,79.7,,79.7
2737,,69.9,,69.9
2738,,69.05,,69.05
2739,,71.93,,71.93
2740,,68.48,,68.48
2741,,69.22,,69.22
2742,,68.85,,68.85
2743,,72.33,,72.33
2744,,81.24,,81.24
2745,,67.16,,67.16
2746,,67.1,,67.1
2747,,83.57,,83.57
2748,,67.24,,67.24
2749,,69.75,,69.75
2750,,66.87,,66.87
2751,,67.77,,67.77
2752,,66.29,,66.29
2753,,67.92,,67.92
2754,,68.21,,68.21
2755,,78.04,,78.04
2756,,90.51,,90.51
2757,,81.67,,81.67
2758,,73.14,,73.14
2759,,67.95,,67.95
2760,,67.44,,67.44
2761,,67.04,,67.04
2762,,67.54,,67.54
2763,,68.47,,68.47
2764,,70.56,,70.56
2765,,71.29,,71.29
2766,,68.77,,68.77
2767,,70.29,,70.29
2768,,69.82,,69.82
2769,,69.02,,69.02
2770,,68.55,,68.55
2771,,68.28,,68.28
2772,,69.3,,69.3
2773,,80.6,,80.6
2774,,67.56,,67.56
2775,,68.27,,68.27
2776,,69.34,,69.34
2777,,67.05,,67.05
2778,,67.81,,67.81
2779,,68.48,,68.48
2780,,77,,77
2781,,67.78,,67.78
2782,,72.26,,72.26
2783,,66.47,,66.47
2784,,67.79,,67.79
2785,,68.54,,68.54
2786,,68.19,,68.19
2787,,67.65,,67.65
2788,,68.2,,68.2
2789,,68.26,,68.26
2790,,67.96,,67.96
2791,,68.92,,68.92
2792,,104.4,,104.4
2793,,67.45,,67.45
2794,,67.95,,67.95
2795,,93.85,,93.85
2796,,177.4,,177.4
2797,,281.64,,281.64
2798,,244.42,,244.42
2799,,277.19,,277.19
2800,,156.43,,156.43
2801,,237.96,,237.96
2802,,164.77,,164.77
2803,,258.46,,258.46
2804,,230.73,,230.73
2805,,184.67,,184.67
2806,,253.37,,253.37
2807,,102.59,,102.59
2808,,97.33,,97.33
2809,,111.41,,111.41
2810,,279.24,,279.24
2811,,161.18,,161.18
2812,,162.45,,162.45
2813,,137.53,,137.53
2814,,190.78,,190.78
2815,,116.95,,116.95
2816,,155.32,,155.32
2817,,251.59,,251.59
2818,,158.4,,158.4
2819,,103.17,,103.17
2820,,67.58,,67.58
2821,,85.17,,85.17
2822,,82.92,,82.92
2823,,97.99,,97.99
2824,,118.83,,118.83
2825,,82.5,,82.5
2826,,86.51,,86.51
2827,,66.98,,66.98
2828,,67.98,,67.98
2829,,69.09,,69.09
2830,,68.63,,68.63
2831,,67.88,,67.88
2832,,70.38,,70.38
2833,,68.46,,68.46
2834,,67.53,,67.53
2835,,69.65,,69.65
2836,,69.12,,69.12
2837,,68.83,,68.83
2838,,70.5,,70.5
2839,,67.72,,67.72
2840,,67.04,,67.04
2841,,68.74,,68.74
2842,,68.98,,68.98
2843,,68.49,,68.49
2844,,68.39,,68.39
2845,,68.61,,68.61
2846,,67.97,,67.97
2847,,69.26,,69.26
2848,,67.21,,67.21
2849,,68.17,,68.17
2850,,68.33,,68.33
2851,,68.33,,68.33
2852,,69,,69
2853,,67.36,,67.36
2854,,69.3,,69.3
2855,,68.67,,68.67
2856,,67.63,,67.63
2857,,69.96,,69.96
2858,,68.01,,68.01
2859,,70.31,,70.31
2860,,67.4,,67.4
2861,,68.37,,68.37
2862,,66.93,,66.93
2863,,68.08,,68.08
2864,,68.87,,68.87
2865,,69.34,,69.34
2866,,67.61,,67.61
2867,,84.68,,84.68
2868,,85.02,,85.02
2869,,70.37,,70.37
2870,,68.02,,68.02
2871,,69.28,,69.28
2872,,67.88,,67.88
2873,,71.75,,71.75
2874,,70.78,,70.78
2875,,67.41,,67.41
2876,,69.61,,69.61
2877,,68.51,,68.51
2878,,67.58,,67.58
2879,,67.69,,67.69
2880,,67.83,,67.83
2881,,71.2,,71.2
2882,,67.14,,67.14
2883,,67.74,,67.74
2884,,67.69,,67.69
2885,,68.22,,68.22
2886,,67.82,,67.82
2887,,67.15,,67.15
2888,,68.8,,68.8
2889,,68.75,,68.75
2890,,67.49,,67.49
2891,,67.29,,67.29
2892,,68,,68
2893,,68.61,,68.61
2894,,102.84,,102.84
2895,,66.59,,66.59
2896,,69.22,,69.22
2897,,85.66,,85.66
2898,,89.08,,89.08
2899,,84.17,,84.17
2900,,100.27,,100.27
2901,,68.54,,68.54
2902,,67.02,,67.02
2903,,85.17,,85.17
2904,,67.81,,67.81
2905,,265.12,,265.12
2906,,171.07,,171.07
2907,,251.64,,251.64
2908,,242.05,,242.05
2909,,198.02,,198.02
2910,,239.66,,239.66
2911,,249.23,,249.23
2912,,100.54,,100.54
2913,,187.54,,187.54
2914,,217.35,,217.35
2915,,152.56,,152.56
2916,,248.96,,248.96
2917,,214.33,,214.33
2918,,152.01,,152.01
2919,,114.21,,114.21
2920,,87.42,,87.42
2921,,65.92,,65.92
2922,,84.46,,84.46
2923,,298.66,,298.66
2924,,234.3,,234.3
2925,,263.93,,263.93
2926,,111.52,,111.52
2927,,131.61,,131.61
2928,,117.02,,117.02
2929,,84.13,,84.13
2930,,116.67,,116.67
2931,,80.74,,80.74
2932,,97.82,,97.82
2933,,84.84,,84.84
2934,,84.21,,84.21
2935,,67.29,,67.29
2936,,68.49,,68.49
2937,,67.45,,67.45
2938,,66.09,,66.09
2939,,68.59,,68.59
2940,,68.23,,68.23
2941,,67.89,,67.89
2942,,67.21,,67.21
2943,,70.87,,70.87
2944,,82.57,,82.57
2945,,67.49,,67.49
2946,,83.12,,83.12
2947,,67.67,,67.67
2948,,66.15,,66.15
2949,,68.13,,68.13
2950,,68.78,,68.78
2951,,68.92,,68.92
2952,,69.36,,69.36
2953,,68.65,,68.65
2954,,67.78,,67.78
2955,,68.57,,68.57
2956,,67.98,,67.98
2957,,67.17,,67.17
2958,,67.17,,67.17
2959,,68.06,,68.06
2960,,69.78,,69.78
2961,,69.41,,69.41
2962,,69.21,,69.21
2963,,68.04,,68.04
2964,,67.51,,67.51
2965,,69.88,,69.88
2966,,68.75,,68.75
2967,,67.67,,67.67
2968,,67.75,,67.75
2969,,81.99,,81.99
2970,,84.55,,84.55
2971,,67.54,,67.54
2972,,68.01,,68.01
2973,,67.53,,67.53
2974,,68.82,,68.82
2975,,68.34,,68.34
2976,,66.94,,66.94
2977,,67.67,,67.67
2978,,68.32,,68.32
2979,,67.97,,67.97
2980,,68.32,,68.32
2981,,69.44,,69.44
2982,,67.59,,67.59
2983,,67.87,,67.87
2984,,66.47,,66.47
2985,,67.16,,67.16
2986,,67.68,,67.68
2987,,70.29,,70.29
2988,,66.35,,66.35
2989,,67.04,,67.04
2990,,66.99,,66.99
2991,,68.59,,68.59
2992,,67.56,,67.56
2993,,66.23,,66.23
2994,,67.06,,67.06
2995,,68.3,,68.3
2996,,68.11,,68.11
2997,,67.49,,67.49
2998,,82.63,,82.63
2999,,67.46,,67.46
3000,,65.99,,65.99
Grand Total,7902.05,348295.13,12063.35,368260.53